group,guidance_factor,target,sample_id,cif_path,readable,composition_valid,structure_valid,structure_comp_valid,min_distance,volume,volume_per_atom,num_atoms,metal_like_proxy,unique,novel,energy_above_hull_per_atom,stable,predicted_dft_dielectric_scalar,prediction_success,prediction_error,target_numeric,source_method,source_label
fixed_film__uncond,0,uncond,0,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00000.cif,True,True,True,True,2.9111908522151184,240.82131086118352,60.20532771529588,4,False,True,False,,,8.799780040573351,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,1,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00001.cif,True,True,True,True,2.5982992740050697,454.55213410886176,22.727606705443087,20,False,True,True,,,7.184427159399401,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,2,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00002.cif,True,False,True,False,2.870502469145759,176.8802117713579,22.110026471419737,8,False,True,True,,,15.22309755915371,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,3,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00003.cif,True,False,True,False,1.9369992065620176,93.13782203414968,11.64222775426871,8,False,True,True,,,6.412894774869699,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,4,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00004.cif,True,True,True,True,3.210636116196868,51.12121536745351,25.560607683726754,2,True,True,True,,,13.789062797231926,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,5,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00005.cif,True,False,True,False,2.0053086781916694,812.9776713662773,50.81110446039233,16,False,True,True,,,2.0531537728372147,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,6,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00006.cif,True,False,True,False,1.5330530320771822,148.59689870977806,18.574612338722257,8,False,True,True,,,2.460407080741521,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,7,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00007.cif,True,False,True,False,1.886467677981055,192.19785559134644,13.728418256524746,14,False,True,True,,,3.0202657000999564,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,8,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00008.cif,True,True,True,True,1.8167551635300845,156.7465762171955,13.06221468476629,12,False,True,True,,,4.086800790878507,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,9,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00009.cif,True,True,True,True,1.7680899595806283,114.82584213989225,14.353230267486529,8,False,True,True,,,6.030670551079512,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,10,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00010.cif,True,True,True,True,2.5833819069775625,243.22748122400245,20.26895676866687,12,True,True,True,,,18.66271262949204,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,11,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00011.cif,True,False,True,False,1.6852437550161858,228.1898665708734,12.677214809492966,18,False,True,True,,,3.907804874900051,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,12,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00012.cif,True,False,True,False,2.33969146383569,355.8730955904349,35.58730955904349,10,False,True,True,,,4.959111405946648,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,13,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00013.cif,True,True,True,True,1.982147629801417,205.3456009140081,17.112133409500675,12,False,True,True,,,4.76436786259621,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,14,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00014.cif,True,True,True,True,2.157286305664093,406.4307651943439,33.86923043286199,12,False,True,True,,,4.637880524202699,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,15,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00015.cif,True,True,True,True,2.7939196217492337,114.83679902897067,38.278933009656896,3,False,True,True,,,15.418023252311722,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,16,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00016.cif,True,False,True,False,1.7968943558313435,454.00661846322765,25.22258991462376,18,False,True,True,,,4.43602816425011,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,17,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00017.cif,True,True,True,True,1.749673929851554,105.53108814971364,13.191386018714203,8,False,True,True,,,3.578857951604711,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,18,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00018.cif,True,True,True,True,2.85334300671195,47.09730903152872,23.54865451576436,2,False,True,True,,,5.369701682592431,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,19,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00019.cif,True,True,True,True,3.088259645807852,521.1882023811461,52.11882023811461,10,False,True,True,,,7.358483608531016,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,20,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00020.cif,True,True,True,True,2.709182369430333,159.26366191604376,31.852732383208757,5,False,True,True,,,3.6928401119554137,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,21,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00021.cif,True,False,True,False,1.7938250549259918,278.9022342462859,13.945111712314295,20,False,True,True,,,3.675500771409009,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,22,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00022.cif,True,False,True,False,1.8550104061645756,413.4741882294571,29.533870587818367,14,False,True,True,,,2.5466339302914505,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,23,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00023.cif,True,True,True,True,1.6090734839399756,124.71304698762542,13.857005220847268,9,False,True,True,,,4.80548593527985,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,24,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00024.cif,True,True,True,True,2.6791965197987024,506.4443720343388,50.644437203433874,10,True,True,True,,,8.621053845284175,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,25,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00025.cif,True,False,True,False,0.7436829273166022,196.461234471028,12.27882715443925,16,False,True,True,,,1.926554580701982,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,26,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00026.cif,True,True,True,True,2.0312269215968146,811.307221349808,40.5653610674904,20,False,True,True,,,2.196483938796338,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,27,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00027.cif,True,True,True,True,2.883411843497031,201.05145542577688,25.13143192822211,8,True,True,True,,,19.558262920105864,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,28,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00028.cif,True,True,True,True,1.6671672384996203,274.27552801138893,17.142220500711808,16,False,True,True,,,3.901658974181805,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,29,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00029.cif,True,True,True,True,1.849122581756826,142.64524408983615,8.91532775561476,16,False,True,True,,,5.388329206644222,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,30,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00030.cif,True,True,True,True,0.99516562572652,276.5185124121944,17.28240702576215,16,False,True,True,,,3.2970585694528283,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,31,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00031.cif,True,False,True,False,2.4353043064594617,88.8764249841467,17.77528499682934,5,False,True,True,,,15.116574065366969,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,32,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00032.cif,True,False,True,False,0.9844412572628812,292.56865450753503,16.2538141393075,18,False,True,True,,,3.29158541444976,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,33,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00033.cif,True,True,True,True,1.7830580445754045,200.55999845161625,16.713333204301353,12,False,True,True,,,4.236144826563982,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,34,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00034.cif,True,False,True,False,2.466998983935411,526.5556007542441,40.5042769810957,13,False,True,True,,,9.841070771089392,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,35,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00035.cif,True,True,True,True,2.405324318060521,176.65126366206084,25.235894808865837,7,False,True,True,,,10.798353397178344,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,36,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00036.cif,True,False,True,False,2.044022443466908,270.1830400536105,15.01016889186725,18,False,True,True,,,4.924682834212398,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,37,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00037.cif,True,True,True,True,1.7419721012612728,171.44584209943088,10.71536513121443,16,False,True,True,,,3.961934713280234,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,38,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00038.cif,True,True,True,True,1.5628703988769264,250.05792042845053,20.83816003570421,12,False,True,True,,,2.701126666566058,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,39,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00039.cif,True,True,True,True,2.130912260268229,407.1735049040221,25.44834405650138,16,False,True,True,,,7.687687884485345,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,40,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00040.cif,True,True,True,True,2.6961855085245725,39.61001242009207,19.805006210046034,2,False,True,True,,,9.932944919352163,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,41,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00041.cif,True,True,True,True,2.382154247252848,79.05686163995853,15.811372327991704,5,True,True,True,,,12.95584751369873,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,42,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00042.cif,True,True,True,True,1.7305196006412484,279.6661121825724,17.479132011410773,16,False,True,True,,,2.8482414932668227,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,43,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00043.cif,True,True,True,True,1.996927321400858,131.52272579289112,13.152272579289113,10,False,True,True,,,4.949131425809354,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,44,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00044.cif,True,True,True,True,2.601463841337336,382.1730903703181,38.21730903703181,10,False,True,True,,,9.403717322018156,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,45,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00045.cif,True,True,True,True,2.262641871212397,121.49315057806528,20.248858429677547,6,True,True,True,,,13.80278278826568,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,46,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00046.cif,True,True,True,True,1.7879829060408987,124.36552673585616,11.305956975986923,11,False,True,True,,,3.252824812487489,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,47,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00047.cif,True,True,True,True,2.804052880381286,229.6192579026089,19.134938158550742,12,True,True,True,,,12.109785429703312,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,48,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00048.cif,True,True,True,True,2.4696913775264724,246.70694750932103,30.83836843866513,8,False,True,True,,,6.375373702922178,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,49,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00049.cif,True,True,True,True,2.278234255504593,173.50592259579733,21.688240324474663,8,False,True,True,,,14.339933235388012,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,50,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00050.cif,True,True,True,True,2.350946597183725,190.81770580971428,15.901475484142855,12,False,True,True,,,16.43534745723436,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,51,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00051.cif,True,False,True,False,2.3354670236252546,184.94101641105047,20.54900182345005,9,False,True,True,,,15.070009567907418,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,52,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00052.cif,True,True,True,True,1.765353945844039,153.07467265162845,13.915879331966222,11,False,True,True,,,4.818316555472101,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,53,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00053.cif,True,True,True,True,1.756249860313811,382.0834579782983,21.22685877657213,18,False,True,True,,,2.098465212785225,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,54,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00054.cif,True,True,True,True,1.8463221023144811,192.44879526206788,10.691599736781548,18,False,True,True,,,5.796338237787968,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,55,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00055.cif,True,True,True,True,3.250759821976459,441.5293130640789,36.79410942200658,12,False,True,True,,,3.4117381294693963,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,56,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00056.cif,True,True,True,True,3.0136479690238254,86.30916524432973,21.577291311082437,4,True,True,True,,,17.84272091774002,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,57,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00057.cif,True,False,True,False,2.007195320631077,73.65278755583145,14.73055751116629,5,False,True,True,,,15.375926187454237,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,58,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00058.cif,True,False,True,False,2.93679271846856,510.8793759808712,28.38218755449284,18,False,True,True,,,14.530606427125898,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,59,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00059.cif,True,True,True,True,1.5580133703956032,263.5459980766348,23.958727097875887,11,False,True,True,,,6.054356639933576,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,60,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00060.cif,True,True,True,True,2.95795707223658,80.1686776551133,20.042169413778325,4,True,True,True,,,10.180733772417303,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,61,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00061.cif,True,False,True,False,2.337330087956489,458.4713288028083,32.74795205734345,14,False,True,True,,,3.980536598015688,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,62,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00062.cif,True,True,True,True,2.681735203417248,301.97199222925025,27.451999293568203,11,False,True,True,,,12.152250846907757,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,63,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00063.cif,True,True,True,True,1.8692408018435305,106.51110825026448,11.83456758336272,9,False,True,True,,,4.18678970533091,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,64,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00064.cif,True,True,True,True,2.897963200868415,184.5673319093333,26.366761701333324,7,True,True,True,,,16.190025002634844,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,65,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00065.cif,True,True,True,True,2.332774304838961,184.0737068253184,30.67895113755307,6,False,True,True,,,2.4434685912147187,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,66,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00066.cif,True,True,True,True,1.7103976982763562,300.45192938294105,15.022596469147052,20,False,True,True,,,3.9866862630416726,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,67,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00067.cif,True,False,True,False,2.3179085781120623,212.88280663532493,17.74023388627708,12,False,True,True,,,2.9234027528248028,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,68,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00068.cif,True,True,True,True,2.833213015323606,67.60051471386187,16.900128678465467,4,True,True,True,,,16.637254798006712,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,69,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00069.cif,True,True,True,True,1.5076351491160405,258.6718780167224,12.93359390083612,20,False,True,True,,,2.597011132133895,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,70,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00070.cif,True,True,True,True,1.834552734592115,240.0779988004163,13.337666600023129,18,False,True,True,,,5.177834390618522,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,71,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00071.cif,True,False,True,False,2.714013569170387,314.9360104682619,52.489335078043645,6,False,True,True,,,4.094399363747727,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,72,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00072.cif,True,False,True,False,2.1983671037146517,178.5193734909043,17.851937349090427,10,False,True,True,,,5.081755549022378,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,73,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00073.cif,True,False,True,False,1.7553367151715713,216.4665217122616,13.529157607016352,16,False,True,True,,,4.255505600221279,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,74,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00074.cif,True,True,True,True,2.305447908574416,74.03533112730759,18.508832781826897,4,False,True,True,,,14.208479848606828,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,75,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00075.cif,True,False,True,False,2.072391965719766,137.61137494373412,17.201421867966765,8,False,True,True,,,2.182011228247028,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,76,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00076.cif,True,True,True,True,3.268835140091064,54.49796601092024,27.24898300546012,2,True,True,True,,,20.199970186637803,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,77,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00077.cif,True,True,True,True,1.9416250112284297,155.0505940332005,17.22784378146672,9,False,True,True,,,6.00054200282613,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,78,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00078.cif,True,False,True,False,1.7897273557723334,85.98316469300916,10.747895586626145,8,False,True,True,,,12.305613674190177,True,,,fixed_film,fixed_film
fixed_film__uncond,0,uncond,79,provenance://crystalite/outputs/final report output/relaxed_groups/fixed_film__uncond/cifs/sample_00079.cif,True,True,True,True,0.9790042615006708,154.62108034198366,9.66381752137398,16,False,True,True,,,4.334104143956842,True,,,fixed_film,fixed_film
